name,price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Average
Fábio Vieira,5.4,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.298
G.Jesus,6.8,0,0,0,0,2,0.5,0.2941,FWD,Arsenal,19,0.298
Gabriel,6.2,6,2,0,2,37,6.2,5.968,DEF,Arsenal,540,0.298
Havertz,8.2,6,3,1,4,32,5.3,3.902,FWD,Arsenal,540,0.298
Hein,4.0,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.298
J.Timber,5.5,5,0,1,1,19,3.2,3.455,DEF,Arsenal,448,0.298
Jorginho,4.9,1,0,0,0,2,2.0,0.4082,MID,Arsenal,90,0.298
Kiwior,4.8,0,0,0,0,1,1.0,0.2083,DEF,Arsenal,16,0.298
Martinelli,6.9,5,1,2,3,28,4.7,4.058,MID,Arsenal,408,0.298
Nwaneri,4.5,0,0,0,0,2,1.0,0.4444,MID,Arsenal,9,0.298
Ødegaard,8.2,3,0,0,0,7,2.3,0.8537,MID,Arsenal,253,0.298
Raya,5.6,6,0,0,0,34,5.7,6.071,GK,Arsenal,540,0.298
Rice,6.3,5,0,0,0,6,1.2,0.9524,MID,Arsenal,402,0.298
Saka,10.1,6,1,5,6,38,6.3,3.762,MID,Arsenal,476,0.298
Saliba,6.0,6,0,0,0,20,3.3,3.333,DEF,Arsenal,540,0.298
Thomas,5.0,6,1,0,1,21,3.5,4.2,MID,Arsenal,534,0.298
Tierney,4.4,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.298
Tomiyasu,4.8,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.298
Trossard,6.9,4,2,1,3,22,3.7,3.188,MID,Arsenal,314,0.298
White,6.4,4,0,0,0,21,4.2,3.281,DEF,Arsenal,405,0.298
Zinchenko,4.8,1,0,0,0,7,3.5,1.458,DEF,Arsenal,78,0.298
Neto,4.3,2,0,0,0,7,3.5,1.628,GK,Arsenal,180,0.298
Sterling,6.8,0,0,0,0,2,1.0,0.2941,MID,Arsenal,26,0.298
Calafiori,5.8,2,1,0,1,11,2.8,1.897,DEF,Arsenal,205,0.298
Lewis-Skelly,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,1,0.298
Merino,6.0,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.298
Oulad M'hand,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.298
Setford,4.5,0,0,0,0,0,0.0,0.0,GK,Arsenal,0,0.298
Kacurri,4.0,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.298
Heaven,4.0,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.298
Kabia,4.5,0,0,0,0,0,0.0,0.0,MID,Arsenal,0,0.298
Nichols,4.0,0,0,0,0,0,0.0,0.0,DEF,Arsenal,0,0.298
Bailey,6.4,4,0,1,1,10,2.0,1.562,MID,Aston Villa,286,0.412
Barkley,5.2,0,0,1,1,7,1.4,1.346,MID,Aston Villa,121,0.412
Barrenechea,4.9,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.412
Buendia,5.3,0,0,0,0,3,1.0,0.566,MID,Aston Villa,13,0.412
Cash,4.4,2,0,0,0,3,1.5,0.6818,DEF,Aston Villa,96,0.412
Dendoncker,4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.412
Diaby,6.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.412
Diego Carlos,4.5,2,0,0,0,3,1.5,0.6667,DEF,Aston Villa,180,0.412
Digne,4.6,6,0,2,2,16,2.7,3.478,DEF,Aston Villa,434,0.412
Dobbin,5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.412
Duran,6.2,0,4,0,4,26,4.3,4.194,FWD,Aston Villa,157,0.412
Gauci,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.412
Hause,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.412
Iling Jr,5.4,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.412
Kamara,5.0,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.412
Kesler-Hayden,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.412
Konsa,4.5,6,1,0,1,16,2.7,3.556,DEF,Aston Villa,540,0.412
Maatsen,4.8,0,0,0,0,6,1.0,1.25,DEF,Aston Villa,113,0.412
Marschall,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.412
Martinez,5.0,6,0,0,0,11,1.8,2.2,GK,Aston Villa,540,0.412
McGinn,5.3,5,0,0,0,9,1.8,1.698,MID,Aston Villa,349,0.412
Mings,4.4,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.412
Nedeljkovic,4.0,0,0,0,0,3,1.0,0.75,DEF,Aston Villa,93,0.412
Olsen,4.5,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.412
Pau,4.5,6,0,0,0,8,1.3,1.778,DEF,Aston Villa,540,0.412
Ramsey,5.5,3,0,1,1,13,2.2,2.364,MID,Aston Villa,335,0.412
Rogers,5.2,6,1,2,3,25,4.2,4.808,MID,Aston Villa,513,0.412
Sinisalo,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.412
Sousa,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.412
Tielemans,5.5,6,0,2,2,19,3.2,3.455,MID,Aston Villa,533,0.412
Watkins,9.1,6,4,2,6,39,6.5,4.286,FWD,Aston Villa,441,0.412
Onana,5.2,6,2,0,2,25,4.2,4.808,MID,Aston Villa,422,0.412
Jaden,5.3,0,0,0,0,2,0.7,0.3774,MID,Aston Villa,43,0.412
Bogarde,4.0,2,0,0,0,2,1.0,0.5,DEF,Aston Villa,168,0.412
Swinkels,4.0,0,0,0,0,0,0.0,0.0,DEF,Aston Villa,0,0.412
Zych,4.0,0,0,0,0,0,0.0,0.0,GK,Aston Villa,0,0.412
Young,4.5,0,0,0,0,0,0.0,0.0,MID,Aston Villa,0,0.412
Aarons,4.4,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.044
Adams,4.9,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Anthony,4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Brooks,4.9,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Christie,4.9,5,0,0,0,10,1.7,2.041,MID,Bournemouth,380,-0.044
Cook,5.0,6,1,2,3,22,3.7,4.4,MID,Bournemouth,533,-0.044
Enes Ünal,5.4,0,0,0,0,3,1.0,0.5556,FWD,Bournemouth,35,-0.044
Faivre,5.0,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
H.Traorè,4.5,0,0,0,0,0,0.0,0.0,MID,Bournemouth,0,-0.044
Hill,4.0,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.044
Jebbison,4.5,0,0,0,0,2,1.0,0.4444,FWD,Bournemouth,26,-0.044
Kerkez,4.5,6,0,0,0,8,1.3,1.778,DEF,Bournemouth,515,-0.044
Kluivert,5.3,4,0,1,1,11,1.8,2.075,MID,Bournemouth,335,-0.044
Mepham,4.4,0,0,0,0,0,0.0,0.0,DEF,Bournemouth,0,-0.044
O.Dango,5.0,2,1,1,2,16,3.2,3.2,MID,Bournemouth,215,-0.044
Paulsen,4.0,0,0,0,0,0,0.0,0.0,GK,Bournemouth,0,-0.044
Philip,4.8,0,0,0,0,2,1.0,0.4167,MID,Bournemouth,21,-0.044
Scott,4.9,1,0,0,0,7,1.2,1.429,MID,Bournemouth,169,-0.044
Semenyo,5.7,6,3,1,4,29,4.8,5.088,MID,Bournemouth,517,-0.044
Senesi,4.8,4,0,0,0,5,1.2,1.042,DEF,Bournemouth,346,-0.044
Sinisterra,5.0,1,1,1,2,17,2.8,3.4,MID,Bournemouth,149,-0.044
Smith,4.5,3,0,0,0,12,2.0,2.667,DEF,Bournemouth,264,-0.044
Tavernier,5.5,6,1,1,2,22,3.7,4.0,MID,Bournemouth,511,-0.044
Travers,4.4,1,0,0,0,2,2.0,0.4545,GK,Bournemouth,90,-0.044
Zabarnyi,4.5,6,0,0,0,10,1.7,2.222,DEF,Bournemouth,540,-0.044
Arrizabalaga,4.5,3,0,0,0,9,3.0,2.0,GK,Bournemouth,270,-0.044
Huijsen,4.4,2,0,0,0,3,1.0,0.6818,DEF,Bournemouth,193,-0.044
J.Araujo,4.5,3,0,0,0,6,1.2,1.333,DEF,Bournemouth,272,-0.044
Dennis,4.0,0,0,0,0,0,0.0,0.0,GK,Bournemouth,0,-0.044
Evanilson,5.9,5,1,0,1,15,3.0,2.542,FWD,Bournemouth,352,-0.044
Ajer,4.5,6,0,0,0,7,1.2,1.556,DEF,Brentford,457,-0.053
Brierley,4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,-0.053
Collins,4.5,6,0,2,2,15,2.5,3.333,DEF,Brentford,540,-0.053
Damsgaard,5.0,4,0,0,0,12,2.0,2.4,MID,Brentford,372,-0.053
Dasilva,4.9,0,0,0,0,0,0.0,0.0,MID,Brentford,0,-0.053
Flekken,4.5,6,0,0,0,17,2.8,3.778,GK,Brentford,540,-0.053
Henry,4.4,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,-0.053
Hickey,4.4,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,-0.053
Janelt,4.9,6,0,0,0,13,2.2,2.653,MID,Brentford,470,-0.053
Jensen,5.4,3,0,1,1,9,3.0,1.667,MID,Brentford,238,-0.053
Ji-soo,4.0,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,-0.053
Konak,4.5,0,0,0,0,2,1.0,0.4444,MID,Brentford,16,-0.053
Lewis-Potter,5.0,4,0,1,1,12,2.0,2.4,MID,Brentford,366,-0.053
Mbeumo,7.4,6,5,0,5,43,7.2,5.811,MID,Brentford,539,-0.053
Mee,4.3,0,0,0,0,1,1.0,0.2326,DEF,Brentford,1,-0.053
Nørgaard,4.8,4,0,0,0,7,1.8,1.458,MID,Brentford,360,-0.053
Onyeka,4.9,0,0,0,0,2,1.0,0.4082,MID,Brentford,23,-0.053
Peart-Harris,4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,-0.053
Pinnock,4.5,6,0,0,0,6,1.0,1.333,DEF,Brentford,540,-0.053
Roerslev,4.4,2,0,0,0,6,1.2,1.364,DEF,Brentford,260,-0.053
Schade,5.4,3,0,1,1,12,2.0,2.222,MID,Brentford,295,-0.053
Thiago,5.9,0,0,0,0,0,0.0,0.0,FWD,Brentford,0,-0.053
Toney,7.3,0,0,0,0,0,0.0,0.0,FWD,Brentford,0,-0.053
Valdimarsson,4.0,0,0,0,0,0,0.0,0.0,GK,Brentford,0,-0.053
Wissa,6.0,4,3,1,4,28,7.0,4.667,FWD,Brentford,290,-0.053
Yarmoliuk,4.4,1,0,0,0,3,1.0,0.6818,MID,Brentford,98,-0.053
Zanka,4.5,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,-0.053
Carvalho,4.8,2,0,1,1,12,2.0,2.5,MID,Brentford,226,-0.053
Van den Berg,4.0,3,0,0,0,5,1.2,1.25,DEF,Brentford,285,-0.053
Trevitt,4.5,0,0,0,0,1,1.0,0.2222,MID,Brentford,3,-0.053
G.Nunes,5.0,0,0,0,0,0,0.0,0.0,MID,Brentford,0,-0.053
Meghoma,4.0,0,0,0,0,0,0.0,0.0,DEF,Brentford,0,-0.053
Yogane,4.5,0,0,0,0,0,0.0,0.0,MID,Brentford,0,-0.053
Adingra,5.5,1,1,1,2,14,2.8,2.545,MID,Brighton,134,0.026
Baker-Boaitey,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Baleba,5.0,4,1,1,2,19,3.8,3.8,MID,Brighton,348,0.026
Barco,4.0,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.026
Cozier-Duberry,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Dahoud,4.9,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Dunk,4.5,6,0,0,0,15,2.5,3.333,DEF,Brighton,525,0.026
Enciso,5.4,0,0,0,0,4,1.0,0.7407,MID,Brighton,58,0.026
Estupiñan,5.0,2,0,0,0,1,0.3,0.2,DEF,Brighton,189,0.026
Ferguson,5.5,0,0,0,0,3,1.0,0.5455,FWD,Brighton,22,0.026
Gilmour,5.0,1,0,0,0,3,1.5,0.6,MID,Brighton,97,0.026
Gross,6.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Hinshelwood,5.0,6,1,0,1,21,3.5,4.2,MID,Brighton,516,0.026
I.Osman,5.0,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Igor,4.4,0,0,0,0,1,1.0,0.2273,DEF,Brighton,33,0.026
João Pedro,5.5,3,2,0,2,19,4.8,3.455,FWD,Brighton,280,0.026
Kozlowski,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Lamptey,4.5,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.026
March,6.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Mazilu,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Milner,5.0,3,0,0,0,5,1.7,1.0,MID,Brighton,169,0.026
Minteh,5.5,4,0,2,2,14,2.3,2.545,MID,Brighton,319,0.026
Mitoma,6.6,6,1,2,3,26,4.3,3.939,MID,Brighton,531,0.026
Moder,4.4,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
O’Mahony,4.5,0,0,0,0,0,0.0,0.0,FWD,Brighton,0,0.026
Offiah,4.0,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.026
Peupion,4.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Sarmiento,4.9,0,0,0,0,1,1.0,0.2041,MID,Brighton,8,0.026
Steele,4.4,2,0,0,0,9,4.5,2.045,GK,Brighton,180,0.026
Undav,5.5,0,0,0,0,0,0.0,0.0,FWD,Brighton,0,0.026
Van Hecke,4.5,5,0,1,1,19,3.8,4.222,DEF,Brighton,450,0.026
Veltman,4.5,5,0,0,0,20,4.0,4.444,DEF,Brighton,431,0.026
Verbruggen,4.5,4,0,0,0,10,2.5,2.222,GK,Brighton,360,0.026
Webster,4.4,1,0,0,0,0,0.0,0.0,DEF,Brighton,70,0.026
Welbeck,5.8,6,3,1,4,33,5.5,5.69,FWD,Brighton,506,0.026
Wieffer,4.9,2,0,1,1,8,2.7,1.633,MID,Brighton,174,0.026
Gruda,5.4,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Ayari,5.0,1,0,0,0,8,1.6,1.6,MID,Brighton,198,0.026
Moran,5.0,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Rushworth,4.0,0,0,0,0,0,0.0,0.0,GK,Brighton,0,0.026
Georginio,5.5,3,1,0,1,14,2.8,2.545,MID,Brighton,225,0.026
F.Kadıoğlu,4.5,1,0,0,0,1,0.5,0.2222,DEF,Brighton,93,0.026
O'Riley,5.5,0,0,0,0,0,0.0,0.0,MID,Brighton,0,0.026
Samuels,4.0,0,0,0,0,0,0.0,0.0,DEF,Brighton,0,0.026
Andrey Santos,4.5,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.333
Ângelo,4.5,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.333
B.Badiashile,4.4,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.333
Bergström,4.0,0,0,0,0,0,0.0,0.0,GK,Chelsea,0,0.333
Bettinelli,4.0,0,0,0,0,0,0.0,0.0,GK,Chelsea,0,0.333
Caicedo,4.9,6,0,1,1,16,2.7,3.265,MID,Chelsea,525,0.333
Casadei,4.5,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.333
Chilwell,4.8,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.333
Chukwuemeka,4.9,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.333
Colwill,4.5,6,0,0,0,17,2.8,3.778,DEF,Chelsea,540,0.333
Cucurella,5.0,6,0,0,0,14,2.3,2.8,DEF,Chelsea,500,0.333
D.D.Fofana,5.4,0,0,0,0,0,0.0,0.0,FWD,Chelsea,0,0.333
Deivid,5.0,0,0,0,0,0,0.0,0.0,FWD,Chelsea,0,0.333
Dewsbury-Hall,5.7,0,0,0,0,3,1.0,0.5263,MID,Chelsea,44,0.333
Disasi,4.4,1,0,0,0,7,3.5,1.591,DEF,Chelsea,94,0.333
Enzo,4.9,5,0,0,0,10,2.0,2.041,MID,Chelsea,431,0.333
Gallagher,5.9,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.333
Gilchrist,4.0,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.333
Gusto,4.9,4,0,0,0,4,1.0,0.8163,DEF,Chelsea,343,0.333
James,5.0,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.333
Kellyman,4.4,0,0,0,0,0,0.0,0.0,MID,Chelsea,0,0.333
Lavia,4.5,1,0,0,0,3,1.5,0.6667,MID,Chelsea,76,0.333
Lukaku,6.3,0,0,0,0,0,0.0,0.0,FWD,Chelsea,0,0.333
M.Sarr,4.5,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.333
Madueke,6.5,5,3,1,4,33,6.6,5.077,MID,Chelsea,387,0.333
Marc Guiu,4.9,0,0,0,0,1,1.0,0.2041,FWD,Chelsea,24,0.333
Mudryk,6.3,1,0,0,0,3,1.0,0.4762,MID,Chelsea,80,0.333
N.Jackson,7.9,6,4,3,7,40,6.7,5.063,FWD,Chelsea,441,0.333
Nkunku,6.1,1,1,0,1,12,2.0,1.967,MID,Chelsea,116,0.333
Palmer,10.7,6,6,4,10,61,10.2,5.701,MID,Chelsea,505,0.333
Petrović,4.4,0,0,0,0,0,0.0,0.0,GK,Chelsea,0,0.333
Renato Veiga,4.5,1,0,0,0,5,1.2,1.111,MID,Chelsea,127,0.333
Sánchez,4.7,6,0,0,0,32,5.3,6.809,GK,Chelsea,540,0.333
Tosin,4.4,1,0,0,0,7,3.5,1.591,DEF,Chelsea,118,0.333
W.Fofana,4.5,6,0,0,0,10,1.7,2.222,DEF,Chelsea,506,0.333
Sancho,6.4,2,0,4,4,16,5.3,2.5,MID,Chelsea,171,0.333
Neto,6.2,2,0,1,1,8,1.3,1.29,MID,Chelsea,239,0.333
Wiley,4.0,0,0,0,0,0,0.0,0.0,DEF,Chelsea,0,0.333
Jørgensen,4.3,0,0,0,0,0,0.0,0.0,GK,Chelsea,0,0.333
João Félix,6.2,0,1,0,1,8,2.0,1.29,MID,Chelsea,109,0.333
Nketiah,5.9,3,0,0,0,6,2.0,1.017,FWD,Crystal Palace,227,-0.184
Chalobah,4.4,0,0,0,0,0,0.0,0.0,DEF,Crystal Palace,0,-0.184
Ahamada,4.5,0,0,0,0,0,0.0,0.0,MID,Crystal Palace,0,-0.184
C.Doucouré,4.9,1,0,1,1,6,2.0,1.224,MID,Crystal Palace,91,-0.184
