name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,position,FDR_Average
Diop,4.5,Fulham,0,0,0,16,1423,43,2.4,9.556,DEF,-2.0701754385964906
Harris,4.5,Fulham,0,0,0,0,74,2,2.0,0.4444,MID,-2.0701754385964906
Iwobi,5.5,Fulham,5,2,7,27,2331,102,3.2,18.55,MID,-2.0701754385964906
Leno,5.0,Fulham,0,0,0,38,3420,133,3.5,26.6,GK,-2.0701754385964906
Lukić,5.0,Fulham,1,0,1,13,1113,43,1.8,8.6,MID,-2.0701754385964906
Muniz,6.0,Fulham,9,2,11,18,1589,97,3.7,16.17,FWD,-2.0701754385964906
Raúl,5.5,Fulham,7,0,7,18,1390,72,3.0,13.09,FWD,-2.0701754385964906
Ream,4.5,Fulham,1,0,1,17,1503,40,2.2,8.889,DEF,-2.0701754385964906
Reed,5.0,Fulham,0,2,2,15,1317,47,1.7,9.4,MID,-2.0701754385964906
Robinson,4.5,Fulham,0,6,6,37,3266,104,2.8,23.11,DEF,-2.0701754385964906
Tete,4.5,Fulham,1,0,1,10,863,27,1.9,6.0,DEF,-2.0701754385964906
Vinicius,5.0,Fulham,2,0,2,2,306,22,1.7,4.4,FWD,-2.0701754385964906
Wilson,5.5,Fulham,4,7,11,16,1603,94,2.7,17.09,MID,-2.0701754385964906
Johnson,4.0,Ipswich,0,0,0,4,538,17,1.2,4.25,DEF,-12.947368421052635
Phillips,5.0,Ipswich,0,0,0,3,394,10,0.8,2.0,MID,-12.947368421052635
Muric,4.5,Ipswich,0,0,0,10,900,47,4.7,10.44,GK,-12.947368421052635
Buonanotte,5.0,Leicester,3,1,4,17,1356,57,2.1,11.4,MID,0.0
De Cordova-Reid,5.5,Leicester,6,3,9,17,1410,92,2.8,16.73,MID,0.0
Thomas,4.0,Leicester,0,0,0,11,916,7,0.6,1.75,DEF,0.0
A.Becker,5.5,Liverpool,0,0,0,28,2520,107,3.8,19.45,GK,10.210526315789474
Alexander-Arnold,7.0,Liverpool,3,5,8,25,2153,122,4.4,17.43,DEF,10.210526315789474
Bajcetic,4.5,Liverpool,0,0,0,0,25,1,1.0,0.2222,MID,10.210526315789474
Bradley,5.0,Liverpool,1,3,4,10,752,50,4.5,10.0,DEF,10.210526315789474
Clark,4.5,Liverpool,0,0,0,1,86,5,1.0,1.111,MID,10.210526315789474
Darwin,7.5,Liverpool,11,11,22,22,2033,132,3.7,17.6,FWD,10.210526315789474
Diogo J.,7.5,Liverpool,10,7,17,14,1141,110,5.2,14.67,MID,10.210526315789474
Doak,4.5,Liverpool,0,0,0,0,13,1,1.0,0.2222,MID,10.210526315789474
Elliott,5.5,Liverpool,3,9,12,11,1330,96,2.8,17.45,MID,10.210526315789474
Endo,5.0,Liverpool,1,0,1,20,1714,47,1.6,9.4,MID,10.210526315789474
Gakpo,7.5,Liverpool,8,5,13,17,1633,106,3.0,14.13,FWD,10.210526315789474
Gomez,5.0,Liverpool,0,2,2,17,1772,76,2.4,15.2,DEF,10.210526315789474
Gravenberch,5.0,Liverpool,1,0,1,12,1110,45,1.7,9.0,MID,10.210526315789474
Jones,5.5,Liverpool,1,1,2,14,1156,40,1.7,7.273,MID,10.210526315789474
Kelleher,4.5,Liverpool,0,0,0,10,900,34,3.4,7.556,GK,10.210526315789474
Konaté,5.0,Liverpool,0,0,0,17,1570,56,2.5,11.2,DEF,10.210526315789474
Luis Díaz,7.5,Liverpool,8,7,15,32,2625,142,3.8,18.93,MID,10.210526315789474
M.Salah,12.5,Liverpool,18,12,30,28,2531,211,6.6,16.88,MID,10.210526315789474
Mac Allister,6.5,Liverpool,5,5,10,31,2600,109,3.3,16.77,MID,10.210526315789474
McConnell,4.5,Liverpool,0,0,0,0,3,3,1.0,0.6667,MID,10.210526315789474
Quansah,4.5,Liverpool,2,0,2,13,1188,49,2.9,10.89,DEF,10.210526315789474
Robertson,6.0,Liverpool,3,2,5,18,1689,76,3.3,12.67,DEF,10.210526315789474
Szoboszlai,6.5,Liverpool,3,4,7,25,2102,99,3.0,15.23,MID,10.210526315789474
Tsimikas,5.0,Liverpool,0,3,3,8,675,48,3.7,9.6,DEF,10.210526315789474
Virgil,6.0,Liverpool,2,2,4,36,3177,117,3.2,19.5,DEF,10.210526315789474
Akanji,5.5,Man City,2,0,2,28,2512,112,3.7,20.36,DEF,13.368421052631584
Aké,5.5,Man City,2,3,5,24,2039,99,3.4,18.0,DEF,13.368421052631584
Bernardo,6.5,Man City,6,9,15,29,2576,141,4.3,21.69,MID,13.368421052631584
Bobb,5.0,Man City,1,2,3,2,294,30,2.1,6.0,MID,13.368421052631584
De Bruyne,9.5,Man City,4,10,14,15,1219,98,5.4,10.32,MID,13.368421052631584
Doku,6.5,Man City,3,10,13,18,1585,98,3.4,15.08,MID,13.368421052631584
Ederson M.,5.5,Man City,0,0,0,33,2785,112,3.4,20.36,GK,13.368421052631584
Foden,9.5,Man City,19,8,27,33,2860,230,6.6,24.21,MID,13.368421052631584
Grealish,6.5,Man City,3,1,4,10,998,50,2.5,7.692,MID,13.368421052631584
Gvardiol,6.0,Man City,4,2,6,26,2327,123,4.4,20.5,DEF,13.368421052631584
Haaland,15.0,Man City,27,8,35,29,2553,217,7.0,14.47,FWD,13.368421052631584
J.Alvarez,7.0,Man City,11,11,22,31,2644,158,4.4,22.57,FWD,13.368421052631584
Kovačić,5.5,Man City,1,0,1,16,1539,59,2.0,10.73,MID,13.368421052631584
Lewis,4.5,Man City,2,0,2,8,804,52,3.2,11.56,DEF,13.368421052631584
Matheus N.,5.0,Man City,0,2,2,9,831,32,1.7,6.4,MID,13.368421052631584
McAtee,5.0,Man City,3,4,7,20,1815,77,2.5,15.4,MID,13.368421052631584
Ortega Moreno,5.5,Man City,0,0,0,5,632,22,2.4,4.0,GK,13.368421052631584
Rodrigo,6.5,Man City,8,10,18,34,2931,159,4.7,24.46,MID,13.368421052631584
Rúben,5.5,Man City,0,0,0,28,2557,88,2.9,16.0,DEF,13.368421052631584
Stones,5.5,Man City,1,0,1,12,1061,53,3.3,9.636,DEF,13.368421052631584
Walker,5.5,Man City,0,5,5,30,2766,123,3.8,22.36,DEF,13.368421052631584
Amad,5.0,Man Utd,1,1,2,3,385,23,2.6,4.6,MID,2.4912280701754375
Antony,6.0,Man Utd,1,1,2,15,1311,47,1.6,7.833,MID,2.4912280701754375
B.Fernandes,8.5,Man Utd,10,9,19,35,3118,166,4.7,19.53,MID,2.4912280701754375
Casemiro,5.0,Man Utd,1,3,4,24,1981,58,2.3,11.6,MID,2.4912280701754375
Dalot,5.0,Man Utd,2,3,5,35,3174,111,3.1,22.2,DEF,2.4912280701754375
Eriksen,5.5,Man Utd,1,2,3,12,1134,48,2.2,8.727,MID,2.4912280701754375
Evans,4.5,Man Utd,0,1,1,15,1389,49,2.1,10.89,DEF,2.4912280701754375
Garnacho,6.5,Man Utd,7,7,14,30,2564,131,3.6,20.15,MID,2.4912280701754375
Hannibal,4.5,Man Utd,1,0,1,1,131,11,2.2,2.444,MID,2.4912280701754375
Højlund,7.0,Man Utd,10,2,12,25,2156,112,3.7,16.0,FWD,2.4912280701754375
Lindelof,4.5,Man Utd,1,1,2,14,1328,62,3.3,13.78,DEF,2.4912280701754375
Maguire,5.0,Man Utd,2,4,6,18,1650,73,3.3,14.6,DEF,2.4912280701754375
Mainoo,5.5,Man Utd,3,1,4,24,1927,77,3.2,14.0,MID,2.4912280701754375
Martinez,4.5,Man Utd,0,1,1,8,643,15,1.4,3.333,DEF,2.4912280701754375
McTominay,5.0,Man Utd,7,1,8,18,1891,98,3.1,19.6,MID,2.4912280701754375
Mount,6.5,Man Utd,1,0,1,5,509,23,1.6,3.538,MID,2.4912280701754375
Onana,5.0,Man Utd,0,0,0,38,3420,133,3.5,26.6,GK,2.4912280701754375
Pellistri,5.0,Man Utd,0,1,1,1,164,13,1.4,2.6,MID,2.4912280701754375
Rashford,7.0,Man Utd,7,3,10,26,2264,108,3.3,15.43,MID,2.4912280701754375
Sancho,6.5,Man Utd,0,0,0,0,76,3,1.0,0.4615,MID,2.4912280701754375
Shaw,5.0,Man Utd,0,1,1,12,960,31,2.6,6.2,DEF,2.4912280701754375
A.Murphy,4.0,Newcastle,0,0,0,0,11,2,1.0,0.5,DEF,2.4912280701754375
Almirón,6.0,Newcastle,3,1,4,23,1930,77,2.3,12.83,MID,2.4912280701754375
Barnes,6.5,Newcastle,5,3,8,7,788,64,3.0,9.846,MID,2.4912280701754375
Botman,4.5,Newcastle,2,2,4,15,1375,51,3.0,11.33,DEF,2.4912280701754375
Bruno G.,6.5,Newcastle,7,9,16,37,3264,153,4.1,23.54,MID,2.4912280701754375
Burn,4.5,Newcastle,2,2,4,32,2725,97,2.9,21.56,DEF,2.4912280701754375
Dúbravka,4.5,Newcastle,0,0,0,22,1984,75,3.3,16.67,GK,2.4912280701754375
Gordon,7.5,Newcastle,11,16,27,34,2896,183,5.2,24.4,MID,2.4912280701754375
Hall,4.5,Newcastle,1,0,1,8,773,38,2.1,8.444,DEF,2.4912280701754375
Isak,8.5,Newcastle,21,4,25,27,2253,172,5.7,20.24,FWD,2.4912280701754375
J.Murphy,5.5,Newcastle,3,8,11,14,1184,82,3.9,14.91,MID,2.4912280701754375
Joelinton,6.0,Newcastle,2,1,3,15,1276,45,2.2,7.5,MID,2.4912280701754375
Kelly,4.5,Newcastle,0,1,1,17,1553,48,2.1,10.67,DEF,2.4912280701754375
Krafth,4.5,Newcastle,0,0,0,8,909,33,1.9,7.333,DEF,2.4912280701754375
Lascelles,4.5,Newcastle,1,0,1,13,1077,46,2.9,10.22,DEF,2.4912280701754375
Livramento,4.5,Newcastle,1,0,1,12,1302,45,1.7,10.0,DEF,2.4912280701754375
Longstaff,5.0,Newcastle,6,3,9,30,2742,110,3.1,22.0,MID,2.4912280701754375
Miley,5.0,Newcastle,1,3,4,14,1203,44,2.6,8.8,MID,2.4912280701754375
Odysseas,4.5,Newcastle,0,0,0,5,450,12,2.4,2.667,GK,2.4912280701754375
Pope,5.0,Newcastle,0,0,0,15,1345,57,3.8,11.4,GK,2.4912280701754375
Schär,5.5,Newcastle,4,3,7,35,3055,123,3.4,22.36,DEF,2.4912280701754375
Targett,4.0,Newcastle,0,0,0,1,77,2,0.7,0.5,DEF,2.4912280701754375
Tonali,5.5,Newcastle,1,0,1,5,437,16,2.0,2.909,MID,2.4912280701754375
Trippier,6.0,Newcastle,1,10,11,26,2235,111,4.0,18.5,DEF,2.4912280701754375
White,4.5,Newcastle,0,0,0,0,12,3,0.8,0.6667,MID,2.4912280701754375
Willock,5.0,Newcastle,1,0,1,5,415,18,2.0,3.6,MID,2.4912280701754375
Wilson,7.0,Newcastle,9,1,10,9,981,69,3.5,9.857,FWD,2.4912280701754375
Osula,5.0,Newcastle,0,1,1,9,778,25,1.2,5.0,FWD,2.4912280701754375
Aina,4.5,Nott'm Forest,1,1,2,20,1690,45,2.0,10.0,DEF,-5.929824561403509
Anderson,5.0,Nott'm Forest,0,2,2,10,1018,42,2.0,8.4,MID,-5.929824561403509
Awoniyi,6.0,Nott'm Forest,6,3,9,12,1036,67,3.4,11.17,FWD,-5.929824561403509
Boly,4.5,Nott'm Forest,2,1,3,18,1437,58,2.9,12.89,DEF,-5.929824561403509
Danilo,5.0,Nott'm Forest,2,2,4,20,1787,65,2.2,13.0,MID,-5.929824561403509
Dominguez,5.0,Nott'm Forest,2,2,4,19,1489,67,2.6,13.4,MID,-5.929824561403509
Elanga,5.5,Nott'm Forest,5,9,14,25,2424,119,3.3,21.64,MID,-5.929824561403509
Gibbs-White,6.5,Nott'm Forest,5,12,17,35,3156,142,3.8,21.85,MID,-5.929824561403509
Hudson-Odoi,5.5,Nott'm Forest,8,2,10,20,1846,109,3.8,19.82,MID,-5.929824561403509
Murillo,4.5,Nott'm Forest,0,2,2,32,2790,58,1.8,12.89,DEF,-5.929824561403509
N.Williams,4.5,Nott'm Forest,0,1,1,18,1630,39,1.5,8.667,DEF,-5.929824561403509
Omobamidele,4.5,Nott'm Forest,0,0,0,8,782,11,1.0,2.444,DEF,-5.929824561403509
Sangaré,4.5,Nott'm Forest,0,0,0,13,1031,25,1.5,5.556,MID,-5.929824561403509
Sels,4.5,Nott'm Forest,0,0,0,16,1440,34,2.1,7.556,GK,-5.929824561403509
Toffolo,4.5,Nott'm Forest,1,3,4,15,1452,52,2.3,11.56,DEF,-5.929824561403509
Turner,4.0,Nott'm Forest,0,0,0,17,1530,41,2.5,10.25,GK,-5.929824561403509
Wood,6.0,Nott'm Forest,14,1,15,20,1801,131,4.2,21.83,FWD,-5.929824561403509
Worrall,4.5,Nott'm Forest,0,0,0,5,438,13,1.9,2.889,DEF,-5.929824561403509
Yates,5.0,Nott'm Forest,1,1,2,21,1979,59,1.7,11.8,MID,-5.929824561403509
Lallana,5.0,Southampton,0,1,1,13,839,30,1.2,6.0,MID,0.0
Taylor,4.0,Southampton,1,1,2,25,2329,47,1.7,11.75,DEF,0.0
Brereton Díaz,5.5,Southampton,6,1,7,14,1105,62,4.4,11.27,MID,0.0
Solanke,7.5,Spurs,19,3,22,37,3325,175,4.6,23.33,FWD,4.596491228070177
Bentancur,5.0,Spurs,1,1,2,13,997,32,1.4,6.4,MID,4.596491228070177
Bissouma,5.0,Spurs,0,0,0,26,2070,44,1.6,8.8,MID,4.596491228070177
Bryan,5.0,Spurs,0,0,0,2,200,12,1.1,2.4,MID,4.596491228070177
Davies,4.5,Spurs,1,2,3,12,1085,34,2.0,7.556,DEF,4.596491228070177
Dragusin,4.5,Spurs,0,0,0,4,424,14,1.6,3.111,DEF,4.596491228070177
E.Royal,4.5,Spurs,1,0,1,11,1152,27,1.2,6.0,DEF,4.596491228070177
Højbjerg,5.0,Spurs,0,0,0,8,1289,39,1.1,7.8,MID,4.596491228070177
Johnson,6.5,Spurs,5,12,17,26,2317,131,3.7,20.15,MID,4.596491228070177
Kulusevski,6.5,Spurs,8,3,11,31,2759,130,3.6,20.0,MID,4.596491228070177
Lo Celso,5.0,Spurs,2,2,4,4,491,47,2.1,9.4,MID,4.596491228070177
Maddison,7.5,Spurs,4,11,15,26,2137,117,4.2,15.6,MID,4.596491228070177
Pedro Porro,5.5,Spurs,3,8,11,35,3090,136,3.9,24.73,DEF,4.596491228070177
Reguilón,4.5,Spurs,0,6,6,18,1524,74,3.0,16.44,DEF,4.596491228070177
Richarlison,7.0,Spurs,11,4,15,18,1481,122,4.4,17.43,FWD,4.596491228070177
Romero,5.0,Spurs,5,0,5,33,2790,107,3.2,21.4,DEF,4.596491228070177
P.Sarr,5.0,Spurs,3,3,6,27,2063,86,2.5,17.2,MID,4.596491228070177
Scarlett,4.5,Spurs,0,0,0,0,19,4,1.0,0.8889,FWD,4.596491228070177
Skipp,5.0,Spurs,0,0,0,5,691,22,1.0,4.4,MID,4.596491228070177
Solomon,5.5,Spurs,0,2,2,2,196,14,2.8,2.545,MID,4.596491228070177
Son,10.0,Spurs,17,10,27,34,2934,213,6.1,21.3,MID,4.596491228070177
Udogie,5.0,Spurs,2,3,5,28,2391,79,2.8,15.8,DEF,4.596491228070177
Van de Ven,4.5,Spurs,3,0,3,27,2341,81,3.0,18.0,DEF,4.596491228070177
Veliz,5.0,Spurs,1,0,1,0,45,11,1.4,2.2,FWD,4.596491228070177
Vicario,5.0,Spurs,0,0,0,38,3420,112,2.9,22.4,GK,4.596491228070177
Werner,6.5,Spurs,2,4,6,10,808,46,3.5,7.077,MID,4.596491228070177
Moore,4.5,Spurs,0,0,0,0,3,2,1.0,0.4444,MID,4.596491228070177
Wan-Bissaka,4.5,West Ham,0,2,2,20,1778,47,2.1,10.44,DEF,-0.3157894736842113
Álvarez,5.0,West Ham,1,1,2,28,2375,62,2.0,12.4,MID,-0.3157894736842113
Antonio,5.5,West Ham,6,2,8,21,1692,78,3.0,14.18,FWD,-0.3157894736842113
Areola,4.5,West Ham,0,0,0,31,2700,116,3.7,25.78,GK,-0.3157894736842113
Bowen,7.5,West Ham,16,6,22,34,3020,182,5.4,24.27,MID,-0.3157894736842113
Cornet,5.0,West Ham,1,0,1,1,109,13,1.9,2.6,MID,-0.3157894736842113
Coufal,4.5,West Ham,0,7,7,36,3135,85,2.4,18.89,DEF,-0.3157894736842113
Cresswell,4.0,West Ham,0,0,0,4,431,10,0.9,2.5,DEF,-0.3157894736842113
Earthy,4.5,West Ham,1,0,1,0,33,8,2.7,1.778,MID,-0.3157894736842113
Emerson,4.5,West Ham,1,4,5,35,3138,82,2.3,18.22,DEF,-0.3157894736842113
Fabianski,4.0,West Ham,0,0,0,7,721,24,2.4,6.0,GK,-0.3157894736842113
Foderingham,4.5,West Ham,0,0,0,29,2648,70,2.3,15.56,GK,-0.3157894736842113
Ings,5.0,West Ham,1,2,3,3,389,36,1.8,7.2,FWD,-0.3157894736842113
Kilman,4.5,West Ham,2,0,2,38,3420,82,2.2,18.22,DEF,-0.3157894736842113
Kudus,6.5,West Ham,8,9,17,27,2485,137,4.2,21.08,MID,-0.3157894736842113
L.Paquetá,6.0,West Ham,4,6,10,31,2627,100,3.2,16.67,MID,-0.3157894736842113
Mavropanos,4.5,West Ham,1,0,1,16,1500,40,2.1,8.889,DEF,-0.3157894736842113
N.Aguerd,4.5,West Ham,1,0,1,21,1857,36,1.7,8.0,DEF,-0.3157894736842113
Souček,5.0,West Ham,7,2,9,34,2867,116,3.1,23.2,MID,-0.3157894736842113
Ward-Prowse,6.5,West Ham,7,7,14,34,3000,146,3.9,22.46,MID,-0.3157894736842113
Zouma,4.5,West Ham,3,0,3,32,2838,76,2.3,16.89,DEF,-0.3157894736842113
Aït-Nouri,4.5,Wolves,2,3,5,29,2327,77,2.3,17.11,DEF,-2.421052631578948
B.Traore,5.0,Wolves,0,0,0,7,802,25,1.0,5.0,MID,-2.421052631578948
Bellegarde,5.0,Wolves,2,2,4,10,948,45,2.0,9.0,MID,-2.421052631578948
Bentley,4.0,Wolves,0,0,0,3,382,18,3.6,4.5,GK,-2.421052631578948
Chirewa,4.5,Wolves,0,0,0,1,138,8,1.0,1.778,MID,-2.421052631578948
Chiwome,4.5,Wolves,0,0,0,2,173,5,1.7,1.111,FWD,-2.421052631578948
Cunha,6.5,Wolves,12,7,19,29,2438,135,4.2,20.77,FWD,-2.421052631578948
Dawson,4.5,Wolves,1,1,2,25,2209,69,2.8,15.33,DEF,-2.421052631578948
Doherty,4.5,Wolves,1,0,1,9,1136,41,1.4,9.111,DEF,-2.421052631578948
Doyle,5.0,Wolves,0,0,0,11,1209,38,1.5,7.6,MID,-2.421052631578948
Fábio Silva,5.0,Wolves,0,0,0,3,259,8,1.0,1.6,FWD,-2.421052631578948
Fraser,4.5,Wolves,0,0,0,1,183,7,1.0,1.556,FWD,-2.421052631578948
Gonzalez,4.5,Wolves,0,0,0,0,1,1,1.0,0.2222,MID,-2.421052631578948
H.Bueno,4.5,Wolves,0,0,0,7,727,29,1.3,6.444,DEF,-2.421052631578948
Hee Chan,6.5,Wolves,12,3,15,25,2116,125,4.3,19.23,MID,-2.421052631578948
J.Gomes,5.0,Wolves,2,2,4,32,2646,75,2.2,15.0,MID,-2.421052631578948
José Sá,4.5,Wolves,0,1,1,35,3037,107,3.1,23.78,GK,-2.421052631578948
Kalajdžić,5.0,Wolves,2,0,2,1,158,24,2.2,4.8,FWD,-2.421052631578948
Mario Jr.,5.0,Wolves,4,1,5,34,2969,95,2.7,19.0,MID,-2.421052631578948
N.Semedo,4.5,Wolves,0,2,2,36,3084,63,1.8,14.0,DEF,-2.421052631578948
S.Bueno,4.5,Wolves,0,0,0,9,819,13,1.1,2.889,DEF,-2.421052631578948
Sarabia,5.5,Wolves,4,7,11,20,1737,99,3.3,18.0,MID,-2.421052631578948
Toti,4.5,Wolves,1,4,5,31,2771,82,2.3,18.22,DEF,-2.421052631578948
